area_code,area,GG,gg,yyyy,population,man,woman
三重県,昭和,50,1975,,1626002,787280,838722
滋賀県,昭和,50,1975,,985621,481733,503888
京都府,昭和,50,1975,,2424856,1190854,1234002
大阪府,昭和,50,1975,,8278925,4132495,4146430
兵庫県,昭和,50,1975,,4992140,2453277,2538863
奈良県,昭和,50,1975,,1077491,523633,553858
和歌山県,昭和,50,1975,,1072118,517868,554250
鳥取県,昭和,50,1975,,581311,277151,304160
島根県,昭和,50,1975,,768886,367060,401826
岡山県,昭和,50,1975,,1814305,878132,936173
広島県,昭和,50,1975,,2646324,1296677,1349647
山口県,昭和,50,1975,,1555218,743833,811385
徳島県,昭和,50,1975,,805166,384812,420354
香川県,昭和,50,1975,,961292,461370,499922
愛媛県,昭和,50,1975,,1465215,697794,767421
高知県,昭和,50,1975,,808397,383538,424859
福岡県,昭和,50,1975,,4292963,2070190,2222773
佐賀県,昭和,50,1975,,837674,394661,443013
長崎県,昭和,50,1975,,1571912,750418,821494
熊本県,昭和,50,1975,,1715273,809998,905275
大分県,昭和,50,1975,,1190314,561760,628554
宮崎県,昭和,50,1975,,1085055,515236,569819
鹿児島県,昭和,50,1975,,1723902,804365,919537
沖縄県,昭和,50,1975,,1042572,510754,531818
全国,昭和,55,1980,,117060396,57593769,59466627
人口集中地区,昭和,55,1980,,69934854,34530429,35404425
人口集中地区以外の地区,昭和,55,1980,,47125542,23063340,24062202
北海道,昭和,55,1980,,5575989,2737089,2838900
青森県,昭和,55,1980,,1523907,735444,788463
岩手県,昭和,55,1980,,1421927,688460,733467
宮城県,昭和,55,1980,,2082320,1025903,1056417
秋田県,昭和,55,1980,,1256745,603403,653342
山形県,昭和,55,1980,,1251917,605407,646510
福島県,昭和,55,1980,,2035272,990575,1044697
茨城県,昭和,55,1980,,2558007,1272533,1285474
栃木県,昭和,55,1980,,1792201,885573,906628
群馬県,昭和,55,1980,,1848562,908871,939691
埼玉県,昭和,55,1980,,5420480,2739175,2681305
千葉県,昭和,55,1980,,4735424,2383157,2352267
東京都,昭和,55,1980,,11618281,5856280,5762001
神奈川県,昭和,55,1980,,6924348,3536021,3388327
新潟県,昭和,55,1980,,2451357,1193653,1257704
富山県,昭和,55,1980,,1103459,532686,570773
石川県,昭和,55,1980,,1119304,542782,576522
福井県,昭和,55,1980,,794354,384269,410085
山梨県,昭和,55,1980,,804256,391649,412607
長野県,昭和,55,1980,,2083934,1008885,1075049
岐阜県,昭和,55,1980,,1960107,954018,1006089
静岡県,昭和,55,1980,,3446804,1695778,1751026
愛知県,昭和,55,1980,,6221638,3112306,3109332
三重県,昭和,55,1980,,1686936,817578,869358
滋賀県,昭和,55,1980,,1079898,529208,550690
京都府,昭和,55,1980,,2527330,1238365,1288965
大阪府,昭和,55,1980,,8473446,4203838,4269608
兵庫県,昭和,55,1980,,5144892,2512358,2632534
奈良県,昭和,55,1980,,1209365,587067,622298
和歌山県,昭和,55,1980,,1087012,523467,563545
鳥取県,昭和,55,1980,,604221,289946,314275
島根県,昭和,55,1980,,784795,377499,407296
岡山県,昭和,55,1980,,1871023,905477,965546
広島県,昭和,55,1980,,2739161,1336806,1402355
山口県,昭和,55,1980,,1587079,759255,827824
徳島県,昭和,55,1980,,825261,395994,429267
香川県,昭和,55,1980,,999864,481104,518760
愛媛県,昭和,55,1980,,1506637,718517,788120
高知県,昭和,55,1980,,831275,396418,434857
福岡県,昭和,55,1980,,4553461,2200450,2353011
佐賀県,昭和,55,1980,,865574,410912,454662
長崎県,昭和,55,1980,,1590564,758374,832190
熊本県,昭和,55,1980,,1790327,850831,939496
大分県,昭和,55,1980,,1228913,583097,645816
宮崎県,昭和,55,1980,,1151587,550207,601380
鹿児島県,昭和,55,1980,,1784623,839392,945231
沖縄県,昭和,55,1980,,1106559,543692,562867
全国,昭和,60,1985,,121048923,59497316,61551607
人口集中地区,昭和,60,1985,,73344121,36173221,37170900
人口集中地区以外の地区,昭和,60,1985,,47704802,23324095,24380707
北海道,昭和,60,1985,,5679439,2766296,2913143
青森県,昭和,60,1985,,1524448,731439,793009
岩手県,昭和,60,1985,,1433611,691740,741871
宮城県,昭和,60,1985,,2176295,1071741,1104554
秋田県,昭和,60,1985,,1254032,599591,654441
山形県,昭和,60,1985,,1261662,609417,652245
福島県,昭和,60,1985,,2080304,1012456,1067848
茨城県,昭和,60,1985,,2725005,1357963,1367042
栃木県,昭和,60,1985,,1866066,924221,941845
群馬県,昭和,60,1985,,1921259,947013,974246
埼玉県,昭和,60,1985,,5863678,2961591,2902087
千葉県,昭和,60,1985,,5148163,2588365,2559798
東京都,昭和,60,1985,,11829363,5955029,5874334
神奈川県,昭和,60,1985,,7431974,3804081,3627893
新潟県,昭和,60,1985,,2478470,1205071,1273399
富山県,昭和,60,1985,,1118369,538955,579414
石川県,昭和,60,1985,,1152325,557664,594661
福井県,昭和,60,1985,,817633,397115,420518
山梨県,昭和,60,1985,,832832,407910,424922
長野県,昭和,60,1985,,2136927,1038070,1098857
岐阜県,昭和,60,1985,,2028536,986919,1041617
静岡県,昭和,60,1985,,3574692,1759455,1815237
愛知県,昭和,60,1985,,6455172,3228724,3226448
三重県,昭和,60,1985,,1747311,847420,899891
滋賀県,昭和,60,1985,,1155844,568735,587109
京都府,昭和,60,1985,,2586574,1264035,1322539
大阪府,昭和,60,1985,,8668095,4286445,4381650
兵庫県,昭和,60,1985,,5278050,2567814,2710236
奈良県,昭和,60,1985,,1304866,632955,671911
和歌山県,昭和,60,1985,,1087206,520172,567034
鳥取県,昭和,60,1985,,616024,295511,320513
島根県,昭和,60,1985,,794629,382893,411736
岡山県,昭和,60,1985,,1916906,926238,990668
広島県,昭和,60,1985,,2819200,1373853,1445347
山口県,昭和,60,1985,,1601627,763803,837824
徳島県,昭和,60,1985,,834889,399689,435200
香川県,昭和,60,1985,,1022569,492696,529873
愛媛県,昭和,60,1985,,1529983,728506,801477
高知県,昭和,60,1985,,839784,398408,441376
福岡県,昭和,60,1985,,4719259,2270496,2448763
佐賀県,昭和,60,1985,,880013,417308,462705
長崎県,昭和,60,1985,,1593968,757617,836351
熊本県,昭和,60,1985,,1837747,872932,964815
大分県,昭和,60,1985,,1250214,593014,657200
宮崎県,昭和,60,1985,,1175543,558355,617188
鹿児島県,昭和,60,1985,,1819270,856493,962777
沖縄県,昭和,60,1985,,1179097,581102,597995
全国,平成,2,1990,,123611167,60696724,62914443
人口集中地区,平成,2,1990,,78152452,38564229,39588223
人口集中地区以外の地区,平成,2,1990,,45458715,22132495,23326220
北海道,平成,2,1990,,5643647,2722988,2920659
青森県,平成,2,1990,,1482873,704758,778115
岩手県,平成,2,1990,,1416928,680197,736731
宮城県,平成,2,1990,,2248558,1105103,1143455
秋田県,平成,2,1990,,1227478,584678,642800
山形県,平成,2,1990,,1258390,607041,651349
福島県,平成,2,1990,,2104058,1024354,1079704
茨城県,平成,2,1990,,2845382,1419117,1426265
栃木県,平成,2,1990,,1935168,962571,972597
群馬県,平成,2,1990,,1966265,971704,994561
埼玉県,平成,2,1990,,6405319,3245868,3159451
千葉県,平成,2,1990,,5555429,2802774,2752655
東京都,平成,2,1990,,11855563,5969773,5885790
神奈川県,平成,2,1990,,7980391,4098147,3882244
新潟県,平成,2,1990,,2474583,1200376,1274207
富山県,平成,2,1990,,1120161,538640,581521
石川県,平成,2,1990,,1164628,562684,601944
福井県,平成,2,1990,,823585,400391,423194
山梨県,平成,2,1990,,852966,418701,434265
長野県,平成,2,1990,,2156627,1048109,1108518
岐阜県,平成,2,1990,,2066569,1003933,1062636
静岡県,平成,2,1990,,3670840,1808951,1861889
愛知県,平成,2,1990,,6690603,3354827,3335776
三重県,平成,2,1990,,1792514,869515,922999
滋賀県,平成,2,1990,,1222411,601082,621329
京都府,平成,2,1990,,2602460,1267620,1334840
大阪府,平成,2,1990,,8734516,4308184,4426332
兵庫県,平成,2,1990,,5405040,2619692,2785348
奈良県,平成,2,1990,,1375481,663591,711890
和歌山県,平成,2,1990,,1074325,510777,563548
鳥取県,平成,2,1990,,615722,294899,320823
島根県,平成,2,1990,,781021,373618,407403
岡山県,平成,2,1990,,1925877,926721,999156
広島県,平成,2,1990,,2849847,1385297,1464550
山口県,平成,2,1990,,1572616,744844,827772
徳島県,平成,2,1990,,831598,395906,435692
香川県,平成,2,1990,,1023412,491621,531791
愛媛県,平成,2,1990,,1515025,716940,798085
高知県,平成,2,1990,,825034,389063,435971
福岡県,平成,2,1990,,4811050,2303487,2507563
佐賀県,平成,2,1990,,877851,414673,463178
長崎県,平成,2,1990,,1562959,736729,826230
熊本県,平成,2,1990,,1840326,869441,970885
大分県,平成,2,1990,,1236942,584672,652270
宮崎県,平成,2,1990,,1168907,551524,617383
鹿児島県,平成,2,1990,,1797824,842474,955350
沖縄県,平成,2,1990,,1222398,598669,623729
全国,平成,7,1995,,125570246,61574398,63995848
人口集中地区,平成,7,1995,,81254670,40027402,41227268
人口集中地区以外の地区,平成,7,1995,,44315576,21546996,22768580
北海道,平成,7,1995,,5692321,2736844,2955477
青森県,平成,7,1995,,1481663,704189,777474
岩手県,平成,7,1995,,1419505,681986,737519
宮城県,平成,7,1995,,2328739,1144739,1184000
秋田県,平成,7,1995,,1213667,577535,636132
山形県,平成,7,1995,,1256958,607316,649642
福島県,平成,7,1995,,2133592,1042030,1091562
茨城県,平成,7,1995,,2955530,1476437,1479093
栃木県,平成,7,1995,,1984390,987426,996964
群馬県,平成,7,1995,,2003540,989610,1013930
埼玉県,平成,7,1995,,6759311,3419218,3340093
千葉県,平成,7,1995,,5797782,2923839,2873943
東京都,平成,7,1995,,11773605,5892704,5880901
神奈川県,平成,7,1995,,8245900,4209525,4036375
新潟県,平成,7,1995,,2488364,1209833,1278531
富山県,平成,7,1995,,1123125,540921,582204
石川県,平成,7,1995,,1180068,570835,609233
福井県,平成,7,1995,,826996,401860,425136
山梨県,平成,7,1995,,881996,434707,447289
長野県,平成,7,1995,,2193984,1070471,1123513
岐阜県,平成,7,1995,,2100315,1019549,1080766
静岡県,平成,7,1995,,3737689,1841947,1895742
愛知県,平成,7,1995,,6868336,3439180,3429156
三重県,平成,7,1995,,1841358,893982,947376
滋賀県,平成,7,1995,,1287005,634648,652357
京都府,平成,7,1995,,2629592,1276838,1352754
大阪府,平成,7,1995,,8797268,4321575,4475693
兵庫県,平成,7,1995,,5401877,2612369,2789508
奈良県,平成,7,1995,,1430862,688741,742121
和歌山県,平成,7,1995,,1080435,513450,566985
鳥取県,平成,7,1995,,614929,294414,320515
島根県,平成,7,1995,,771441,368789,402652
岡山県,平成,7,1995,,1950750,938439,1012311
広島県,平成,7,1995,,2881748,1398986,1482762
山口県,平成,7,1995,,1555543,736555,818988
徳島県,平成,7,1995,,832427,395636,436791
香川県,平成,7,1995,,1027006,493482,533524
愛媛県,平成,7,1995,,1506700,712518,794182
高知県,平成,7,1995,,816704,384446,432258
福岡県,平成,7,1995,,4933393,2357525,2575868
佐賀県,平成,7,1995,,884316,418666,465650
長崎県,平成,7,1995,,1544934,726894,818040
熊本県,平成,7,1995,,1859793,879873,979920
大分県,平成,7,1995,,1231306,581909,649397
宮崎県,平成,7,1995,,1175819,556245,619574
鹿児島県,平成,7,1995,,1794224,840980,953244
沖縄県,平成,7,1995,,1273440,624737,648703
全国,平成,12,2000,,126925843,62110764,64815079
人口集中地区,平成,12,2000,,82809682,40709080,42100602
人口集中地区以外の地区,平成,12,2000,,44116161,21401684,22714477
北海道,平成,12,2000,,5683062,2719389,2963673
青森県,平成,12,2000,,1475728,702573,773155
岩手県,平成,12,2000,,1416180,681238,734942
宮城県,平成,12,2000,,2365320,1158622,1206698
秋田県,平成,12,2000,,1189279,564556,624723
山形県,平成,12,2000,,1244147,601372,642775
福島県,平成,12,2000,,2126935,1037787,1089148
茨城県,平成,12,2000,,2985676,1488340,1497336
栃木県,平成,12,2000,,2004817,995859,1008958
群馬県,平成,12,2000,,2024852,999349,1025503
埼玉県,平成,12,2000,,6938006,3500224,3437782
千葉県,平成,12,2000,,5926285,2976984,2949301
東京都,平成,12,2000,,12064101,6028562,6035539
神奈川県,平成,12,2000,,8489974,4308786,4181188
新潟県,平成,12,2000,,2475733,1202004,1273729
富山県,平成,12,2000,,1120851,540212,580639
石川県,平成,12,2000,,1180977,572244,608733
福井県,平成,12,2000,,828944,402367,426577
山梨県,平成,12,2000,,888172,436837,451335
長野県,平成,12,2000,,2215168,1080986,1134182
岐阜県,平成,12,2000,,2107700,1022186,1085514
静岡県,平成,12,2000,,3767393,1857031,1910362
愛知県,平成,12,2000,,7043300,3525698,3517602
三重県,平成,12,2000,,1857339,901380,955959
滋賀県,平成,12,2000,,1342832,663432,679400
京都府,平成,12,2000,,2644391,1278142,1366249
大阪府,平成,12,2000,,8805081,4304059,4501022
兵庫県,平成,12,2000,,5550574,2674625,2875949
奈良県,平成,12,2000,,1442795,691098,751697
和歌山県,平成,12,2000,,1069912,506882,563030
鳥取県,平成,12,2000,,613289,293403,319886
島根県,平成,12,2000,,761503,363994,397509
岡山県,平成,12,2000,,1950828,936044,1014784
広島県,平成,12,2000,,2878915,1392496,1486419
山口県,平成,12,2000,,1527964,722683,805281
徳島県,平成,12,2000,,824108,391718,432390
香川県,平成,12,2000,,1022890,491761,531129
愛媛県,平成,12,2000,,1493092,704289,788803
高知県,平成,12,2000,,813949,383859,430090
福岡県,平成,12,2000,,5015699,2388824,2626875
佐賀県,平成,12,2000,,876654,414377,462277
長崎県,平成,12,2000,,1516523,712346,804177
熊本県,平成,12,2000,,1859344,878145,981199
大分県,平成,12,2000,,1221140,575985,645155
宮崎県,平成,12,2000,,1170007,552160,617847
鹿児島県,平成,12,2000,,1786194,837979,948215
沖縄県,平成,12,2000,,1318220,647877,670343
全国,平成,17,2005,,127767994,62348977,65419017
人口集中地区,平成,17,2005,,84331415,41327595,43003820
人口集中地区以外の地区,平成,17,2005,,43436579,21021382,22415197
北海道,平成,17,2005,,5627737,2675033,2952704
青森県,平成,17,2005,,1436657,679077,757580
岩手県,平成,17,2005,,1385041,663580,721461
宮城県,平成,17,2005,,2360218,1149172,1211046
秋田県,平成,17,2005,,1145501,540539,604962
山形県,平成,17,2005,,1216181,585023,631158
福島県,平成,17,2005,,2091319,1016724,1074595
茨城県,平成,17,2005,,2975167,1479941,1495226
栃木県,平成,17,2005,,2016631,1002114,1014517
群馬県,平成,17,2005,,2024135,996346,1027789
埼玉県,平成,17,2005,,7054243,3554843,3499400
千葉県,平成,17,2005,,6056462,3029486,3026976
東京都,平成,17,2005,,12576601,6264895,6311706
神奈川県,平成,17,2005,,8791597,4444555,4347042
新潟県,平成,17,2005,,2431459,1176919,1254540
富山県,平成,17,2005,,1111729,535617,576112
石川県,平成,17,2005,,1174026,567060,606966
福井県,平成,17,2005,,821592,397271,424321
山梨県,平成,17,2005,,884515,433569,450946
長野県,平成,17,2005,,2196114,1068203,1127911
岐阜県,平成,17,2005,,2107226,1020570,1086656
静岡県,平成,17,2005,,3792377,1868458,1923919
愛知県,平成,17,2005,,7254704,3638994,3615710
三重県,平成,17,2005,,1866963,907214,959749
滋賀県,平成,17,2005,,1380361,681474,698887
京都府,平成,17,2005,,2647660,1272993,1374667
大阪府,平成,17,2005,,8817166,4280622,4536544
兵庫県,平成,17,2005,,5590601,2680288,2910313
奈良県,平成,17,2005,,1421310,676375,744935
和歌山県,平成,17,2005,,1035969,488022,547947
鳥取県,平成,17,2005,,607012,290190,316822
島根県,平成,17,2005,,742223,353703,388520
岡山県,平成,17,2005,,1957264,938600,1018664
広島県,平成,17,2005,,2876642,1390190,1486452
山口県,平成,17,2005,,1492606,703721,788885
徳島県,平成,17,2005,,809950,384635,425315
香川県,平成,17,2005,,1012400,486108,526292
愛媛県,平成,17,2005,,1467815,691677,776138
高知県,平成,17,2005,,796292,374435,421857
福岡県,平成,17,2005,,5049908,2394094,2655814
佐賀県,平成,17,2005,,866369,408230,458139
長崎県,平成,17,2005,,1478632,691444,787188
熊本県,平成,17,2005,,1842233,866916,975317
大分県,平成,17,2005,,1209571,569796,639775
宮崎県,平成,17,2005,,1153042,542113,610929
鹿児島県,平成,17,2005,,1753179,819646,933533
沖縄県,平成,17,2005,,1361594,668502,693092
全国,平成,22,2010,,128057352,62327737,65729615
人口集中地区,平成,22,2010,,86121462,42051390,44070072
人口集中地区以外の地区,平成,22,2010,,41935890,20276347,21659543
北海道,平成,22,2010,,5506419,2603345,2903074
青森県,平成,22,2010,,1373339,646141,727198
岩手県,平成,22,2010,,1330147,634971,695176
宮城県,平成,22,2010,,2348165,1139566,1208599
秋田県,平成,22,2010,,1085997,509926,576071
山形県,平成,22,2010,,1168924,560643,608281
福島県,平成,22,2010,,2029064,984682,1044382
茨城県,平成,22,2010,,2969770,1479779,1489991
栃木県,平成,22,2010,,2007683,996855,1010828
群馬県,平成,22,2010,,2008068,988019,1020049
埼玉県,平成,22,2010,,7194556,3608711,3585845
千葉県,平成,22,2010,,6216289,3098139,3118150
東京都,平成,22,2010,,13159388,6512110,6647278
神奈川県,平成,22,2010,,9048331,4544545,4503786
新潟県,平成,22,2010,,2374450,1148236,1226214
富山県,平成,22,2010,,1093247,526605,566642
石川県,平成,22,2010,,1169788,564972,604816
福井県,平成,22,2010,,806314,389712,416602
山梨県,平成,22,2010,,863075,422526,440549
長野県,平成,22,2010,,2152449,1046178,1106271
岐阜県,平成,22,2010,,2080773,1006247,1074526
静岡県,平成,22,2010,,3765007,1853952,1911055
愛知県,平成,22,2010,,7410719,3704220,3706499
三重県,平成,22,2010,,1854724,903398,951326
滋賀県,平成,22,2010,,1410777,696769,714008
京都府,平成,22,2010,,2636092,1265387,1370705
大阪府,平成,22,2010,,8865245,4285566,4579679
兵庫県,平成,22,2010,,5588133,2673328,2914805
奈良県,平成,22,2010,,1400728,663321,737407
和歌山県,平成,22,2010,,1002198,471397,530801
鳥取県,平成,22,2010,,588667,280701,307966
島根県,平成,22,2010,,717397,342991,374406
岡山県,平成,22,2010,,1945276,933168,1012108
広島県,平成,22,2010,,2860750,1380671,1480079
山口県,平成,22,2010,,1451338,684176,767162
徳島県,平成,22,2010,,785491,372710,412781
香川県,平成,22,2010,,995842,479951,515891
愛媛県,平成,22,2010,,1431493,673326,758167
高知県,平成,22,2010,,764456,359134,405322
福岡県,平成,22,2010,,5071968,2393965,2678003
佐賀県,平成,22,2010,,849788,400136,449652
長崎県,平成,22,2010,,1426779,665899,760880
熊本県,平成,22,2010,,1817426,853514,963912
大分県,平成,22,2010,,1196529,564890,631639
宮崎県,平成,22,2010,,1135233,533035,602198
鹿児島県,平成,22,2010,,1706242,796896,909346
沖縄県,平成,22,2010,,1392818,683328,709490
全国,平成,27,2015,,127094745,61841738,65253007
人口集中地区,平成,27,2015,,86868176,42363423,44504753
人口集中地区以外の地区,平成,27,2015,,40226569,19478315,20748254
北海道,平成,27,2015,,5381733,2537089,2844644
青森県,平成,27,2015,,1308265,614694,693571
岩手県,平成,27,2015,,1279594,615584,664010
宮城県,平成,27,2015,,2333899,1140167,1193732
秋田県,平成,27,2015,,1023119,480336,542783
山形県,平成,27,2015,,1123891,540226,583665
福島県,平成,27,2015,,1914039,945660,968379
茨城県,平成,27,2015,,2916976,1453594,1463382
栃木県,平成,27,2015,,1974255,981626,992629
群馬県,平成,27,2015,,1973115,973283,999832
埼玉県,平成,27,2015,,7266534,3628418,3638116
千葉県,平成,27,2015,,6222666,3095860,3126806
東京都,平成,27,2015,,13515271,6666690,6848581
神奈川県,平成,27,2015,,9126214,4558978,4567236
新潟県,平成,27,2015,,2304264,1115413,1188851
富山県,平成,27,2015,,1066328,515147,551181
石川県,平成,27,2015,,1154008,558589,595419
福井県,平成,27,2015,,786740,381474,405266
山梨県,平成,27,2015,,834930,408327,426603
長野県,平成,27,2015,,2098804,1022129,1076675
岐阜県,平成,27,2015,,2031903,983850,1048053
静岡県,平成,27,2015,,3700305,1820993,1879312
愛知県,平成,27,2015,,7483128,3740844,3742284
三重県,平成,27,2015,,1815865,883516,932349
滋賀県,平成,27,2015,,1412916,696941,715975
京都府,平成,27,2015,,2610353,1248972,1361381
大阪府,平成,27,2015,,8839469,4256049,4583420
兵庫県,平成,27,2015,,5534800,2641561,2893239
奈良県,平成,27,2015,,1364316,643946,720370
和歌山県,平成,27,2015,,963579,453216,510363
鳥取県,平成,27,2015,,573441,273705,299736
島根県,平成,27,2015,,694352,333112,361240
岡山県,平成,27,2015,,1921525,922226,999299
広島県,平成,27,2015,,2843990,1376211,1467779
山口県,平成,27,2015,,1404729,665008,739721
徳島県,平成,27,2015,,755733,359790,395943
香川県,平成,27,2015,,976263,472308,503955
愛媛県,平成,27,2015,,1385262,654380,730882
高知県,平成,27,2015,,728276,342672,385604
福岡県,平成,27,2015,,5101556,2410418,2691138
佐賀県,平成,27,2015,,832832,393073,439759
長崎県,平成,27,2015,,1377187,645763,731424
熊本県,平成,27,2015,,1786170,841046,945124
大分県,平成,27,2015,,1166338,551932,614406
宮崎県,平成,27,2015,,1104069,519242,584827
鹿児島県,平成,27,2015,,1648177,773061,875116
沖縄県,平成,27,2015,,1433566,704619,728947
